"column_name","family","tenor","wing","form","base_column","units","description","formula"
"iv_30d_25p","iv","30d","25p","level",NULL,"vol_decimal","Implied vol at 30d calendar tenor, 25-delta put",NULL
"iv_30d_atm","iv","30d","atm","level",NULL,"vol_decimal","Implied vol at 30d calendar tenor, at-the-money forward (k=0)",NULL
"iv_30d_25c","iv","30d","25c","level",NULL,"vol_decimal","Implied vol at 30d calendar tenor, 25-delta call",NULL
"iv_30d_10c","iv","30d","10c","level",NULL,"vol_decimal","Implied vol at 30d calendar tenor, 10-delta call",NULL
"iv_90d_10p","iv","90d","10p","level",NULL,"vol_decimal","Implied vol at 90d calendar tenor, 10-delta put",NULL
"iv_90d_25p","iv","90d","25p","level",NULL,"vol_decimal","Implied vol at 90d calendar tenor, 25-delta put",NULL
"iv_90d_atm","iv","90d","atm","level",NULL,"vol_decimal","Implied vol at 90d calendar tenor, at-the-money forward (k=0)",NULL
"iv_90d_25c","iv","90d","25c","level",NULL,"vol_decimal","Implied vol at 90d calendar tenor, 25-delta call",NULL
"iv_90d_10c","iv","90d","10c","level",NULL,"vol_decimal","Implied vol at 90d calendar tenor, 10-delta call",NULL
"iv_180d_10p","iv","180d","10p","level",NULL,"vol_decimal","Implied vol at 180d calendar tenor, 10-delta put",NULL
"iv_180d_25p","iv","180d","25p","level",NULL,"vol_decimal","Implied vol at 180d calendar tenor, 25-delta put",NULL
"iv_180d_atm","iv","180d","atm","level",NULL,"vol_decimal","Implied vol at 180d calendar tenor, at-the-money forward (k=0)",NULL
"iv_180d_25c","iv","180d","25c","level",NULL,"vol_decimal","Implied vol at 180d calendar tenor, 25-delta call",NULL
"iv_180d_10c","iv","180d","10c","level",NULL,"vol_decimal","Implied vol at 180d calendar tenor, 10-delta call",NULL
"vix_1d","vix","1d",NULL,"level",NULL,"vol_decimal","CBOE variance-swap implied vol at 1d tenor, interpolated in total-variance space","sqrt(2/T·Σ ΔK_i/K_i² e^(rT) Q(K_i) - (F/K0 - 1)²/T)"
"vix_7d","vix","7d",NULL,"level",NULL,"vol_decimal","CBOE variance-swap implied vol at 7d tenor, interpolated in total-variance space","sqrt(2/T·Σ ΔK_i/K_i² e^(rT) Q(K_i) - (F/K0 - 1)²/T)"
"vix_30d","vix","30d",NULL,"level",NULL,"vol_decimal","CBOE variance-swap implied vol at 30d tenor, interpolated in total-variance space","sqrt(2/T·Σ ΔK_i/K_i² e^(rT) Q(K_i) - (F/K0 - 1)²/T)"
"vix_90d","vix","90d",NULL,"level",NULL,"vol_decimal","CBOE variance-swap implied vol at 90d tenor, interpolated in total-variance space","sqrt(2/T·Σ ΔK_i/K_i² e^(rT) Q(K_i) - (F/K0 - 1)²/T)"
"vix_180d","vix","180d",NULL,"level",NULL,"vol_decimal","CBOE variance-swap implied vol at 180d tenor, interpolated in total-variance space","sqrt(2/T·Σ ΔK_i/K_i² e^(rT) Q(K_i) - (F/K0 - 1)²/T)"
"term_ratio_1d_7d","term_ratio","1d_7d",NULL,"level",NULL,"ratio","ATM IV ratio: iv_1d_atm / iv_7d_atm","iv_1d_atm / iv_7d_atm"
"term_ratio_7d_30d","term_ratio","7d_30d",NULL,"level",NULL,"ratio","ATM IV ratio: iv_7d_atm / iv_30d_atm","iv_7d_atm / iv_30d_atm"
"term_ratio_30d_90d","term_ratio","30d_90d",NULL,"level",NULL,"ratio","ATM IV ratio: iv_30d_atm / iv_90d_atm","iv_30d_atm / iv_90d_atm"
"skew_1d_10p_25p","skew","1d","10p_25p","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and 25p at 1d tenor","sqrt(1/365) × (iv_25p - iv_10p) / ln(K_25p / K_10p)"
"skew_1d_25p_atm","skew","1d","25p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and atm at 1d tenor","sqrt(1/365) × (iv_atm - iv_25p) / ln(K_atm / K_25p)"
"skew_1d_10p_atm","skew","1d","10p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and atm at 1d tenor","sqrt(1/365) × (iv_atm - iv_10p) / ln(K_atm / K_10p)"
"skew_1d_atm_25c","skew","1d","atm_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 25c at 1d tenor","sqrt(1/365) × (iv_25c - iv_atm) / ln(K_25c / K_atm)"
"skew_1d_atm_10c","skew","1d","atm_10c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 10c at 1d tenor","sqrt(1/365) × (iv_10c - iv_atm) / ln(K_10c / K_atm)"
"skew_1d_25p_25c","skew","1d","25p_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and 25c at 1d tenor","sqrt(1/365) × (iv_25c - iv_25p) / ln(K_25c / K_25p)"
"skew_7d_10p_25p","skew","7d","10p_25p","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and 25p at 7d tenor","sqrt(7/365) × (iv_25p - iv_10p) / ln(K_25p / K_10p)"
"skew_7d_25p_atm","skew","7d","25p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and atm at 7d tenor","sqrt(7/365) × (iv_atm - iv_25p) / ln(K_atm / K_25p)"
"skew_7d_10p_atm","skew","7d","10p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and atm at 7d tenor","sqrt(7/365) × (iv_atm - iv_10p) / ln(K_atm / K_10p)"
"skew_7d_atm_25c","skew","7d","atm_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 25c at 7d tenor","sqrt(7/365) × (iv_25c - iv_atm) / ln(K_25c / K_atm)"
"skew_7d_atm_10c","skew","7d","atm_10c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 10c at 7d tenor","sqrt(7/365) × (iv_10c - iv_atm) / ln(K_10c / K_atm)"
"skew_7d_25p_25c","skew","7d","25p_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and 25c at 7d tenor","sqrt(7/365) × (iv_25c - iv_25p) / ln(K_25c / K_25p)"
"skew_30d_10p_25p","skew","30d","10p_25p","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and 25p at 30d tenor","sqrt(30/365) × (iv_25p - iv_10p) / ln(K_25p / K_10p)"
"skew_30d_25p_atm","skew","30d","25p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and atm at 30d tenor","sqrt(30/365) × (iv_atm - iv_25p) / ln(K_atm / K_25p)"
"skew_30d_10p_atm","skew","30d","10p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and atm at 30d tenor","sqrt(30/365) × (iv_atm - iv_10p) / ln(K_atm / K_10p)"
"skew_30d_atm_25c","skew","30d","atm_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 25c at 30d tenor","sqrt(30/365) × (iv_25c - iv_atm) / ln(K_25c / K_atm)"
"skew_30d_atm_10c","skew","30d","atm_10c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 10c at 30d tenor","sqrt(30/365) × (iv_10c - iv_atm) / ln(K_10c / K_atm)"
"skew_30d_25p_25c","skew","30d","25p_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and 25c at 30d tenor","sqrt(30/365) × (iv_25c - iv_25p) / ln(K_25c / K_25p)"
"skew_90d_10p_25p","skew","90d","10p_25p","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and 25p at 90d tenor","sqrt(90/365) × (iv_25p - iv_10p) / ln(K_25p / K_10p)"
"skew_90d_25p_atm","skew","90d","25p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and atm at 90d tenor","sqrt(90/365) × (iv_atm - iv_25p) / ln(K_atm / K_25p)"
"skew_90d_10p_atm","skew","90d","10p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and atm at 90d tenor","sqrt(90/365) × (iv_atm - iv_10p) / ln(K_atm / K_10p)"
"skew_90d_atm_25c","skew","90d","atm_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 25c at 90d tenor","sqrt(90/365) × (iv_25c - iv_atm) / ln(K_25c / K_atm)"
"skew_90d_atm_10c","skew","90d","atm_10c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 10c at 90d tenor","sqrt(90/365) × (iv_10c - iv_atm) / ln(K_10c / K_atm)"
"skew_90d_25p_25c","skew","90d","25p_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and 25c at 90d tenor","sqrt(90/365) × (iv_25c - iv_25p) / ln(K_25c / K_25p)"
"skew_180d_10p_25p","skew","180d","10p_25p","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and 25p at 180d tenor","sqrt(180/365) × (iv_25p - iv_10p) / ln(K_25p / K_10p)"
"skew_180d_25p_atm","skew","180d","25p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and atm at 180d tenor","sqrt(180/365) × (iv_atm - iv_25p) / ln(K_atm / K_25p)"
"skew_180d_10p_atm","skew","180d","10p_atm","level",NULL,"slope","Sqrt-T-scaled IV slope between 10p and atm at 180d tenor","sqrt(180/365) × (iv_atm - iv_10p) / ln(K_atm / K_10p)"
"skew_180d_atm_25c","skew","180d","atm_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 25c at 180d tenor","sqrt(180/365) × (iv_25c - iv_atm) / ln(K_25c / K_atm)"
"skew_180d_atm_10c","skew","180d","atm_10c","level",NULL,"slope","Sqrt-T-scaled IV slope between atm and 10c at 180d tenor","sqrt(180/365) × (iv_10c - iv_atm) / ln(K_10c / K_atm)"
"skew_180d_25p_25c","skew","180d","25p_25c","level",NULL,"slope","Sqrt-T-scaled IV slope between 25p and 25c at 180d tenor","sqrt(180/365) × (iv_25c - iv_25p) / ln(K_25c / K_25p)"
"term_slope_1_7_25p","term_slope","1d_7d","25p","level",NULL,"vol_decimal","Annualized forward vol from 1d to 7d at 25p delta","sqrt((iv_7d_25p² × T_7 - iv_1d_25p² × T_1) / (T_7 - T_1))"
"term_slope_1_7_atm","term_slope","1d_7d","atm","level",NULL,"vol_decimal","Annualized forward vol from 1d to 7d at atm delta","sqrt((iv_7d_atm² × T_7 - iv_1d_atm² × T_1) / (T_7 - T_1))"
"term_slope_1_7_25c","term_slope","1d_7d","25c","level",NULL,"vol_decimal","Annualized forward vol from 1d to 7d at 25c delta","sqrt((iv_7d_25c² × T_7 - iv_1d_25c² × T_1) / (T_7 - T_1))"
"term_slope_7_30_25p","term_slope","7d_30d","25p","level",NULL,"vol_decimal","Annualized forward vol from 7d to 30d at 25p delta","sqrt((iv_30d_25p² × T_30 - iv_7d_25p² × T_7) / (T_30 - T_7))"
"term_slope_7_30_atm","term_slope","7d_30d","atm","level",NULL,"vol_decimal","Annualized forward vol from 7d to 30d at atm delta","sqrt((iv_30d_atm² × T_30 - iv_7d_atm² × T_7) / (T_30 - T_7))"
"term_slope_7_30_25c","term_slope","7d_30d","25c","level",NULL,"vol_decimal","Annualized forward vol from 7d to 30d at 25c delta","sqrt((iv_30d_25c² × T_30 - iv_7d_25c² × T_7) / (T_30 - T_7))"
"term_slope_30_90_25p","term_slope","30d_90d","25p","level",NULL,"vol_decimal","Annualized forward vol from 30d to 90d at 25p delta","sqrt((iv_90d_25p² × T_90 - iv_30d_25p² × T_30) / (T_90 - T_30))"
"term_slope_30_90_atm","term_slope","30d_90d","atm","level",NULL,"vol_decimal","Annualized forward vol from 30d to 90d at atm delta","sqrt((iv_90d_atm² × T_90 - iv_30d_atm² × T_30) / (T_90 - T_30))"
"term_slope_30_90_25c","term_slope","30d_90d","25c","level",NULL,"vol_decimal","Annualized forward vol from 30d to 90d at 25c delta","sqrt((iv_90d_25c² × T_90 - iv_30d_25c² × T_30) / (T_90 - T_30))"
"convex_1d_10p_25p_atm","convex","1d","10p_25p_atm","level",NULL,"vol_decimal","Smile curvature at 1d: weighted chord (10p,atm) minus center 25p","(w_l × iv_10p + w_r × iv_atm) - iv_25p;  weights delta-interpolated"
"convex_1d_atm_25c_10c","convex","1d","atm_25c_10c","level",NULL,"vol_decimal","Smile curvature at 1d: weighted chord (atm,10c) minus center 25c","(w_l × iv_atm + w_r × iv_10c) - iv_25c;  weights delta-interpolated"
"convex_1d_25p_atm_25c","convex","1d","25p_atm_25c","level",NULL,"vol_decimal","Smile curvature at 1d: weighted chord (25p,25c) minus center atm","(w_l × iv_25p + w_r × iv_25c) - iv_atm;  weights delta-interpolated"
"convex_1d_10p_atm_10c","convex","1d","10p_atm_10c","level",NULL,"vol_decimal","Smile curvature at 1d: weighted chord (10p,10c) minus center atm","(w_l × iv_10p + w_r × iv_10c) - iv_atm;  weights delta-interpolated"
"convex_7d_10p_25p_atm","convex","7d","10p_25p_atm","level",NULL,"vol_decimal","Smile curvature at 7d: weighted chord (10p,atm) minus center 25p","(w_l × iv_10p + w_r × iv_atm) - iv_25p;  weights delta-interpolated"
"convex_7d_atm_25c_10c","convex","7d","atm_25c_10c","level",NULL,"vol_decimal","Smile curvature at 7d: weighted chord (atm,10c) minus center 25c","(w_l × iv_atm + w_r × iv_10c) - iv_25c;  weights delta-interpolated"
"convex_7d_25p_atm_25c","convex","7d","25p_atm_25c","level",NULL,"vol_decimal","Smile curvature at 7d: weighted chord (25p,25c) minus center atm","(w_l × iv_25p + w_r × iv_25c) - iv_atm;  weights delta-interpolated"
"convex_7d_10p_atm_10c","convex","7d","10p_atm_10c","level",NULL,"vol_decimal","Smile curvature at 7d: weighted chord (10p,10c) minus center atm","(w_l × iv_10p + w_r × iv_10c) - iv_atm;  weights delta-interpolated"
"convex_30d_10p_25p_atm","convex","30d","10p_25p_atm","level",NULL,"vol_decimal","Smile curvature at 30d: weighted chord (10p,atm) minus center 25p","(w_l × iv_10p + w_r × iv_atm) - iv_25p;  weights delta-interpolated"
"convex_30d_atm_25c_10c","convex","30d","atm_25c_10c","level",NULL,"vol_decimal","Smile curvature at 30d: weighted chord (atm,10c) minus center 25c","(w_l × iv_atm + w_r × iv_10c) - iv_25c;  weights delta-interpolated"
"convex_30d_25p_atm_25c","convex","30d","25p_atm_25c","level",NULL,"vol_decimal","Smile curvature at 30d: weighted chord (25p,25c) minus center atm","(w_l × iv_25p + w_r × iv_25c) - iv_atm;  weights delta-interpolated"
"convex_30d_10p_atm_10c","convex","30d","10p_atm_10c","level",NULL,"vol_decimal","Smile curvature at 30d: weighted chord (10p,10c) minus center atm","(w_l × iv_10p + w_r × iv_10c) - iv_atm;  weights delta-interpolated"
"convex_90d_10p_25p_atm","convex","90d","10p_25p_atm","level",NULL,"vol_decimal","Smile curvature at 90d: weighted chord (10p,atm) minus center 25p","(w_l × iv_10p + w_r × iv_atm) - iv_25p;  weights delta-interpolated"
"convex_90d_atm_25c_10c","convex","90d","atm_25c_10c","level",NULL,"vol_decimal","Smile curvature at 90d: weighted chord (atm,10c) minus center 25c","(w_l × iv_atm + w_r × iv_10c) - iv_25c;  weights delta-interpolated"
"convex_90d_25p_atm_25c","convex","90d","25p_atm_25c","level",NULL,"vol_decimal","Smile curvature at 90d: weighted chord (25p,25c) minus center atm","(w_l × iv_25p + w_r × iv_25c) - iv_atm;  weights delta-interpolated"
"convex_90d_10p_atm_10c","convex","90d","10p_atm_10c","level",NULL,"vol_decimal","Smile curvature at 90d: weighted chord (10p,10c) minus center atm","(w_l × iv_10p + w_r × iv_10c) - iv_atm;  weights delta-interpolated"
"convex_180d_10p_25p_atm","convex","180d","10p_25p_atm","level",NULL,"vol_decimal","Smile curvature at 180d: weighted chord (10p,atm) minus center 25p","(w_l × iv_10p + w_r × iv_atm) - iv_25p;  weights delta-interpolated"
"convex_180d_atm_25c_10c","convex","180d","atm_25c_10c","level",NULL,"vol_decimal","Smile curvature at 180d: weighted chord (atm,10c) minus center 25c","(w_l × iv_atm + w_r × iv_10c) - iv_25c;  weights delta-interpolated"
"convex_180d_25p_atm_25c","convex","180d","25p_atm_25c","level",NULL,"vol_decimal","Smile curvature at 180d: weighted chord (25p,25c) minus center atm","(w_l × iv_25p + w_r × iv_25c) - iv_atm;  weights delta-interpolated"
"convex_180d_10p_atm_10c","convex","180d","10p_atm_10c","level",NULL,"vol_decimal","Smile curvature at 180d: weighted chord (10p,10c) minus center atm","(w_l × iv_10p + w_r × iv_10c) - iv_atm;  weights delta-interpolated"
"rr_1d_25","rr","1d","25d","level",NULL,"vol_decimal","25-delta risk reversal at 1d (call IV − put IV)","iv_1d_25c - iv_1d_25p"
"rr_7d_25","rr","7d","25d","level",NULL,"vol_decimal","25-delta risk reversal at 7d (call IV − put IV)","iv_7d_25c - iv_7d_25p"
"rr_30d_25","rr","30d","25d","level",NULL,"vol_decimal","25-delta risk reversal at 30d (call IV − put IV)","iv_30d_25c - iv_30d_25p"
"rr_90d_25","rr","90d","25d","level",NULL,"vol_decimal","25-delta risk reversal at 90d (call IV − put IV)","iv_90d_25c - iv_90d_25p"
"rr_180d_25","rr","180d","25d","level",NULL,"vol_decimal","25-delta risk reversal at 180d (call IV − put IV)","iv_180d_25c - iv_180d_25p"
"rr_30d_10","rr","30d","10d","level",NULL,"vol_decimal","10-delta risk reversal at 30d (call IV − put IV)","iv_30d_10c - iv_30d_10p"
"rr_90d_10","rr","90d","10d","level",NULL,"vol_decimal","10-delta risk reversal at 90d (call IV − put IV)","iv_90d_10c - iv_90d_10p"
"vix_basis_1d_30d","vix_basis","1d_30d",NULL,"level",NULL,"vol_decimal","VIX term spread: vix_1d − vix_30d","vix_1d - vix_30d"
"vix_basis_30d_90d","vix_basis","30d_90d",NULL,"level",NULL,"vol_decimal","VIX term spread: vix_30d − vix_90d","vix_30d - vix_90d"
"log_ret_d","log_ret","d",NULL,"level",NULL,"log_return","Log return over 1 trading day (snapshot-aligned)","ln(spot_t / spot_{t-1td, same quote_time})"
"log_ret_1w","log_ret","1w",NULL,"level",NULL,"log_return","Log return over 5 trading days (snapshot-aligned)","ln(spot_t / spot_{t-5td, same quote_time})"
"log_ret_1m","log_ret","1m",NULL,"level",NULL,"log_return","Log return over 21 trading days (snapshot-aligned)","ln(spot_t / spot_{t-21td, same quote_time})"
"rv_1w","rv","1w",NULL,"level",NULL,"vol_decimal","Realized vol over trailing 5 trading days, annualized × √252","stdev(log_ret_d over last 5td) × sqrt(252)"
"rv_1m","rv","1m",NULL,"level",NULL,"vol_decimal","Realized vol over trailing 21 trading days, annualized × √252","stdev(log_ret_d over last 21td) × sqrt(252)"
"rv_3m","rv","3m",NULL,"level",NULL,"vol_decimal","Realized vol over trailing 63 trading days, annualized × √252","stdev(log_ret_d over last 63td) × sqrt(252)"
"vrp_1w","vrp","1w",NULL,"level",NULL,"vol_decimal","Vol risk premium: iv_7d_atm − rv_1w","iv_7d_atm - rv_1w"
"vrp_ratio_1w","vrp_ratio","1w",NULL,"level",NULL,"ratio","VRP ratio: iv_7d_atm / rv_1w (blows up when RV is small)","iv_7d_atm / rv_1w"
"vrp_1m","vrp","1m",NULL,"level",NULL,"vol_decimal","Vol risk premium: iv_30d_atm − rv_1m","iv_30d_atm - rv_1m"
"vrp_ratio_1m","vrp_ratio","1m",NULL,"level",NULL,"ratio","VRP ratio: iv_30d_atm / rv_1m (blows up when RV is small)","iv_30d_atm / rv_1m"
"vrp_3m","vrp","3m",NULL,"level",NULL,"vol_decimal","Vol risk premium: iv_90d_atm − rv_3m","iv_90d_atm - rv_3m"
"vrp_ratio_3m","vrp_ratio","3m",NULL,"level",NULL,"ratio","VRP ratio: iv_90d_atm / rv_3m (blows up when RV is small)","iv_90d_atm / rv_3m"
"vov_30d_1m","vov","30d","1m","level",NULL,"vol_decimal","21-trading-day stdev of daily Δ iv_30d_atm — vol of vol","stdev(chg_d_iv_30d_atm over last 21td)"
"spot_vol_30d_1m","spot_vol","30d","1m","level",NULL,"corr","21-trading-day rolling corr( log_ret_d, chg_d_iv_30d_atm )","corr(log_ret_d, chg_d_iv_30d_atm) over last 21td"
"spot_vol_30d_3m","spot_vol","30d","3m","level",NULL,"corr","63-trading-day rolling corr( log_ret_d, chg_d_iv_30d_atm )","corr(log_ret_d, chg_d_iv_30d_atm) over last 63td"
"z_iv_1d_10p","iv","1d","10p","z","iv_1d_10p","z_score","63-trading-day rolling z-score of iv_1d_10p (snapshot-aligned)","(iv_1d_10p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_1d_10p","iv","1d","10p","chg_d","iv_1d_10p","vol_decimal","Daily change of iv_1d_10p (snapshot-aligned)","iv_1d_10p_t - iv_1d_10p_{t-1td, same quote_time}"
"chg_1w_iv_1d_10p","iv","1d","10p","chg_1w","iv_1d_10p","vol_decimal","Weekly (5td) change of iv_1d_10p (snapshot-aligned)","iv_1d_10p_t - iv_1d_10p_{t-5td, same quote_time}"
"z_iv_1d_25p","iv","1d","25p","z","iv_1d_25p","z_score","63-trading-day rolling z-score of iv_1d_25p (snapshot-aligned)","(iv_1d_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_1d_25p","iv","1d","25p","chg_d","iv_1d_25p","vol_decimal","Daily change of iv_1d_25p (snapshot-aligned)","iv_1d_25p_t - iv_1d_25p_{t-1td, same quote_time}"
"chg_1w_iv_1d_25p","iv","1d","25p","chg_1w","iv_1d_25p","vol_decimal","Weekly (5td) change of iv_1d_25p (snapshot-aligned)","iv_1d_25p_t - iv_1d_25p_{t-5td, same quote_time}"
"z_iv_1d_atm","iv","1d","atm","z","iv_1d_atm","z_score","63-trading-day rolling z-score of iv_1d_atm (snapshot-aligned)","(iv_1d_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_1d_atm","iv","1d","atm","chg_d","iv_1d_atm","vol_decimal","Daily change of iv_1d_atm (snapshot-aligned)","iv_1d_atm_t - iv_1d_atm_{t-1td, same quote_time}"
"chg_1w_iv_1d_atm","iv","1d","atm","chg_1w","iv_1d_atm","vol_decimal","Weekly (5td) change of iv_1d_atm (snapshot-aligned)","iv_1d_atm_t - iv_1d_atm_{t-5td, same quote_time}"
"z_iv_1d_25c","iv","1d","25c","z","iv_1d_25c","z_score","63-trading-day rolling z-score of iv_1d_25c (snapshot-aligned)","(iv_1d_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_1d_25c","iv","1d","25c","chg_d","iv_1d_25c","vol_decimal","Daily change of iv_1d_25c (snapshot-aligned)","iv_1d_25c_t - iv_1d_25c_{t-1td, same quote_time}"
"chg_1w_iv_1d_25c","iv","1d","25c","chg_1w","iv_1d_25c","vol_decimal","Weekly (5td) change of iv_1d_25c (snapshot-aligned)","iv_1d_25c_t - iv_1d_25c_{t-5td, same quote_time}"
"z_iv_1d_10c","iv","1d","10c","z","iv_1d_10c","z_score","63-trading-day rolling z-score of iv_1d_10c (snapshot-aligned)","(iv_1d_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_1d_10c","iv","1d","10c","chg_d","iv_1d_10c","vol_decimal","Daily change of iv_1d_10c (snapshot-aligned)","iv_1d_10c_t - iv_1d_10c_{t-1td, same quote_time}"
"chg_1w_iv_1d_10c","iv","1d","10c","chg_1w","iv_1d_10c","vol_decimal","Weekly (5td) change of iv_1d_10c (snapshot-aligned)","iv_1d_10c_t - iv_1d_10c_{t-5td, same quote_time}"
"z_iv_7d_10p","iv","7d","10p","z","iv_7d_10p","z_score","63-trading-day rolling z-score of iv_7d_10p (snapshot-aligned)","(iv_7d_10p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_7d_10p","iv","7d","10p","chg_d","iv_7d_10p","vol_decimal","Daily change of iv_7d_10p (snapshot-aligned)","iv_7d_10p_t - iv_7d_10p_{t-1td, same quote_time}"
"chg_1w_iv_7d_10p","iv","7d","10p","chg_1w","iv_7d_10p","vol_decimal","Weekly (5td) change of iv_7d_10p (snapshot-aligned)","iv_7d_10p_t - iv_7d_10p_{t-5td, same quote_time}"
"z_iv_7d_25p","iv","7d","25p","z","iv_7d_25p","z_score","63-trading-day rolling z-score of iv_7d_25p (snapshot-aligned)","(iv_7d_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_7d_25p","iv","7d","25p","chg_d","iv_7d_25p","vol_decimal","Daily change of iv_7d_25p (snapshot-aligned)","iv_7d_25p_t - iv_7d_25p_{t-1td, same quote_time}"
"chg_1w_iv_7d_25p","iv","7d","25p","chg_1w","iv_7d_25p","vol_decimal","Weekly (5td) change of iv_7d_25p (snapshot-aligned)","iv_7d_25p_t - iv_7d_25p_{t-5td, same quote_time}"
"z_iv_7d_atm","iv","7d","atm","z","iv_7d_atm","z_score","63-trading-day rolling z-score of iv_7d_atm (snapshot-aligned)","(iv_7d_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_7d_atm","iv","7d","atm","chg_d","iv_7d_atm","vol_decimal","Daily change of iv_7d_atm (snapshot-aligned)","iv_7d_atm_t - iv_7d_atm_{t-1td, same quote_time}"
"chg_1w_iv_7d_atm","iv","7d","atm","chg_1w","iv_7d_atm","vol_decimal","Weekly (5td) change of iv_7d_atm (snapshot-aligned)","iv_7d_atm_t - iv_7d_atm_{t-5td, same quote_time}"
"z_iv_7d_25c","iv","7d","25c","z","iv_7d_25c","z_score","63-trading-day rolling z-score of iv_7d_25c (snapshot-aligned)","(iv_7d_25c_t - μ) / σ over last 63td at same quote_time"
